"1732972476","gpt-4o-mini-2024-07-18","solution_1","277","50"
"1732972494","gpt-4o-mini-2024-07-18","solution_1","340","41"
"1732972501","gpt-4o-mini-2024-07-18","solution_1","395","29"
"1732972507","gpt-4o-mini-2024-07-18","solution_1","434","40"
"1732972510","gpt-4o-mini-2024-07-18","solution_1","483","51"
"1732972570","gpt-4o-mini-2024-07-18","solution_1","277","31"
"1732972578","gpt-4o-mini-2024-07-18","solution_1","322","33"
"1732972588","gpt-4o-mini-2024-07-18","solution_1","368","39"
"1732972600","gpt-4o-mini-2024-07-18","solution_1","420","36"
"1732972610","gpt-4o-mini-2024-07-18","solution_1","471","60"
"1732972617","gpt-4o-mini-2024-07-18","solution_1","540","36"
"1732972624","gpt-4o-mini-2024-07-18","solution_1","589","35"
"1732972635","gpt-4o-mini-2024-07-18","solution_1","638","36"
"1732972638","gpt-4o-mini-2024-07-18","solution_1","684","52"
"1732972645","gpt-4o-mini-2024-07-18","solution_1","745","38"
"1732972812","gpt-4o-mini-2024-07-18","solution_1","159","28"
"1732972818","gpt-4o-mini-2024-07-18","solution_1","255","35"
"1732972849","gpt-4o-mini-2024-07-18","solution_1","362","26"
"1732972853","gpt-4o-mini-2024-07-18","solution_1","457","48"
"1732972859","gpt-4o-mini-2024-07-18","solution_1","557","41"
"1732972860","gpt-4o-mini-2024-07-18","solution_1","159","28"
"1732972878","gpt-4o-mini-2024-07-18","solution_1","253","43"
"1732972891","gpt-4o-mini-2024-07-18","solution_1","363","47"
"1732972903","gpt-4o-mini-2024-07-18","solution_1","479","43"
"1732972908","gpt-4o-mini-2024-07-18","solution_1","589","41"
"1732972920","gpt-4o-mini-2024-07-18","solution_1","699","43"
"1732973130","gpt-4o-mini-2024-07-18","solution_1","806","39"
"1732973135","gpt-4o-mini-2024-07-18","solution_1","159","28"
"1732973143","gpt-4o-mini-2024-07-18","solution_1","274","29"
"1732973151","gpt-4o-mini-2024-07-18","solution_1","376","54"
"1732973172","gpt-4o-mini-2024-07-18","solution_1","494","35"
"1732973180","gpt-4o-mini-2024-07-18","solution_1","601","35"
"1732973195","gpt-4o-mini-2024-07-18","solution_1","714","35"
"1732979373",,"solution_3","971","109"
"1732979538",,"solution_3","967","96"
"1732979603",,"solution_3","1019","94"
"1732979615",,"solution_3","1101","116"
"1732979622",,"solution_3","1143","99"
"1732979630",,"solution_3","1217","141"
"1732979710",,"solution_3","1264","89"
"1732979809",,"solution_3","1345","111"
"1732979878",,"solution_3","981","124"
"1732979895",,"solution_3","1054","90"
"1732979902",,"solution_3","1109","86"
"1732979915",,"solution_3","3637","295"
"1732979923",,"solution_3","1209","78"
"1732980497",,"solution_3","1366","205"
"1733253913","gpt-4o-mini-2024-07-18","solution_1","277","50"
"1733253930","gpt-4o-mini-2024-07-18","solution_1","340","42"
"1733253938","gpt-4o-mini-2024-07-18","solution_1","397","42"
"1733253941","gpt-4o-mini-2024-07-18","solution_1","448","45"
"1733253959","gpt-4o-mini-2024-07-18","solution_1","159","28"
"1733253964","gpt-4o-mini-2024-07-18","solution_1","255","35"
"1733253976","gpt-4o-mini-2024-07-18","solution_1","365","49"
"1733253981","gpt-4o-mini-2024-07-18","solution_1","466","32"
"1733253983","gpt-4o-mini-2024-07-18","solution_1","159","28"
"1733254021",gpt-4o-mini,"solution_3","960","90"
"1733254050",gpt-4o-mini,"solution_3","6026","392"
"1733254064",gpt-4o-mini,"solution_3","1086","113"
"1733254367",gpt-4o-mini,"solution_3","927","58"
